group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    North Macedonia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,-1,1,(*),0,0,-1,1,-1,1,(*),-1,-2,(*),(*),(*)
    Poland,1,14,1,3,2,1,4,6,-2,1,-1,-84,50,22,1,-20,5796,(D),426,-2511,476,507,-506,-119,-34,-6,170,411,17,-165,-12,415
    Portugal,-26,-4,9,(*),1,-5,-8,-4,-8,-11,-21,68,-19,-30,-31,1,(D),226,-51,64,-30,175,-28,341,50,6,-5,71,-104,67,-28,35
    Spain,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Romania,0,(D),(*),(D),0,0,0,(D),-2,(D),(D),6,-1,-3,(D),-5,(*),3,-46,-35,45,75,11,(D),-7,25,(D),-33,-39,9,(D),70
    Russia,n.s.,n.s.,37,-29,-1,21,179,-28,(D),(D),21,6,-155,(D),(D),142,305,(D),2756,-746,-1905,693,-15,711,(D),-376,102,-119,185,-76,73,580
    San Marino,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(*)
    Serbia,n.s.,n.s.,(D),(D),(D),-9,(D),(D),(D),(D),(*),(*),(*),-1,1,(*),-2,1,(*),(*),1,(*),-2,2,2,2,-1,5,-2,-8,19,(*)
    Slovakia,n.s.,n.s.,n.s.,(*),(*),(D),(D),(D),0,-3,1,1,1,-1,-5,5,(D),-2,-3,-3,7,(*),11,-4,-11,(D),2,-9,1,-64,38,(D)
    Slovenia,n.s.,n.s.,3,-5,-2,-5,(D),(D),-5,(*),(*),-1,(D),(D),(*),(*),8,-9,-3,-4,2,-1,-9,-5,(D),(*),(D),1,7,(D),-1,1
    Tajikistan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,(*),-1,-1,(*),(*),(*)
    Turkey,-2,-7,-7,3,-3,1,25,-7,11,56,75,17,41,-19,20,5,34,18,(D),42,-37,-93,4,171,-26,46,266,275,272,76,-103,67
    Turkmenistan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,-2,2,0,2,-2,(*),-2,(D),-7,(D),6,1,3,0,0,0,0
